time_worked,avg_action_time,Input,Move From To,Nonproduction,Paste,Remove/Cut,Replace,count_letters,count_special_chars,final_word_count,cluster
1797443,116.24677356276887,2010,3,120,0,417,7,2016,1489,256,3
1758346,112.22127139364304,1938,0,254,1,260,1,1705,2538,323,0
1767228,101.8377659574468,3515,0,175,0,439,7,3675,2210,404,1
1363074,121.84832904884318,1304,0,99,1,151,1,1168,1108,206,0
1584002,123.94389569340181,1942,0,72,0,517,0,1964,1071,252,0
1736280,81.40434192672998,1794,0,76,0,338,3,1749,1019,275,0
1761625,109.71784702549576,1583,0,34,0,148,0,1424,579,242,0
1692754,90.75563110922226,1975,0,155,0,222,1,1715,1728,308,0
1792225,75.01135646687698,1426,0,41,0,118,0,1240,632,223,0
1842966,93.34321492461028,6145,0,228,0,1446,7,6990,3552,739,2
1748291,94.30690032858708,3946,0,87,0,530,2,3666,1538,574,2
1780787,131.15728476821192,1780,0,398,0,237,1,1651,3561,252,0
1769301,82.43052942757323,3182,0,477,0,62,0,2574,4486,573,2
1582724,111.76823398741207,2029,0,136,2,534,0,2213,1694,244,0
1748118,87.00377893245158,1690,0,319,0,108,0,1168,3182,234,0
1815101,124.05154376116356,3289,0,90,1,529,10,3293,1576,449,1
1740219,96.49858088930937,2848,0,59,0,258,6,2771,1195,421,0
1753635,135.84184561810795,2444,0,120,1,878,3,2806,1679,286,0
1620250,98.37773152965661,1758,0,46,0,118,0,1492,752,299,0
1795223,94.34848484848484,3815,0,120,0,1075,6,4098,1932,414,2
1792288,86.89685124864278,4095,0,1011,0,418,2,3738,8975,636,2
1730889,135.2755591054313,3374,0,64,0,312,6,3026,1328,537,0
1746405,126.43626448534424,2528,0,155,0,251,0,2130,1889,430,0
1275080,22.009151921903598,1520,0,6,0,113,0,1328,353,229,0
1769361,92.03578049684835,3178,0,1826,0,389,1,2857,15339,500,5
1791449,78.75258892390815,3284,0,499,0,659,0,3238,4706,447,0
1788712,90.76440756108806,4005,0,195,0,137,1,3301,2409,712,2
1767886,155.8877473363775,2090,0,121,0,414,3,2110,1482,269,0
1323052,129.9790243902439,1822,0,43,0,183,2,1602,762,282,0
1769434,107.89023717595146,2427,0,692,1,498,8,2528,6137,284,0
1832951,83.28839433511128,3973,0,591,1,869,3,4309,5691,490,2
1703917,128.57464061924068,2307,0,94,0,307,5,2139,1293,337,0
1797513,101.48807854137448,3478,0,56,0,31,0,2866,1091,562,0
1795031,115.47977225052442,2747,0,297,0,285,8,2644,3043,407,0
1772039,86.06206512663512,5250,0,812,0,1123,1,5469,7972,641,2
1635374,86.78033205619413,3230,0,173,0,511,1,3014,2122,471,0
1802244,72.83470796162263,2121,0,3655,1,164,0,1871,29681,327,5
1714298,101.40308866909595,4334,0,140,0,1289,0,4512,2373,530,2
684288,112.1687526974536,1905,0,53,0,359,0,1782,906,271,0
1781126,111.97517070142769,2773,0,155,1,290,3,2726,1822,396,0
1088769,65.06259541984733,1222,0,13,0,75,0,1035,368,213,0
1723314,85.70165993719156,1844,0,236,0,149,0,1580,2301,296,0
1783605,108.94745575221239,3203,0,118,0,292,3,2870,1683,514,0
1810881,114.55333559092449,3783,0,777,0,1344,2,4086,7292,426,2
1778695,87.67645921917278,2058,0,299,0,224,6,1951,2899,303,0
1814332,57.27504725897921,4847,0,87,1,346,9,4608,1863,741,1
1772467,100.9192546583851,1369,0,159,0,82,0,1141,1582,212,0
2106440,97.17437722419929,3621,0,80,0,1076,0,3793,1544,422,2
1787630,115.69655172413793,1422,0,89,0,229,0,1292,1071,207,0
1710578,100.70892857142857,1758,0,100,0,382,0,1789,1198,222,0
1814018,56.904879773691654,2505,0,124,0,198,1,2174,1544,400,0
1801994,117.79662162162163,2259,0,56,0,644,1,2339,1022,285,0
1747258,76.22858087992061,5050,0,710,0,286,0,4318,6698,849,2
1762560,83.23260698346023,3236,0,98,1,474,0,2980,1516,495,0
1700709,103.09539473684211,3021,0,99,0,222,2,2556,1494,491,0
1774311,96.59522757401679,4202,0,96,0,227,1,3541,1666,670,2
1697431,101.04077974456644,3421,0,311,0,727,4,3283,3403,453,2
1801283,94.86198547215497,2427,0,198,0,266,0,2140,2137,397,0
1888721,94.04106951871658,2787,0,1374,0,511,3,2840,11667,336,0
1570528,91.00247007410222,4301,0,59,0,900,3,4442,1531,546,2
3711871,131.66631355932202,3871,0,298,1,528,22,3831,3363,551,1
1815275,81.22828729281768,2973,0,550,0,999,3,3448,5333,277,2
1694433,101.19274587305277,2764,0,280,0,1257,0,3242,3039,259,2
1790294,88.60292104062071,3675,0,277,0,428,2,3269,3103,554,2
1518157,117.57204455623427,2504,0,74,0,201,4,2243,1154,365,0
1498393,110.89400665926748,1606,0,136,0,59,1,1335,1431,275,0
1736560,85.05,2667,0,90,1,242,0,2778,1401,442,0
1752129,117.2379736057897,1800,0,300,0,248,1,1655,2838,245,0
1734363,124.8643216080402,2553,0,56,0,376,0,2310,1067,413,0
1791508,116.10378811210349,5484,0,199,0,808,3,5603,2917,692,2
1702716,114.9241422725842,2974,0,64,0,139,0,2512,1170,479,0
1767840,142.31234866828086,1457,0,62,0,133,0,1277,837,224,0
1858387,95.18961310561171,2434,0,248,1,171,15,2255,2614,341,1
1856554,76.09652844744456,4005,0,5582,1,765,17,4378,45893,480,5
1789071,75.5692333959365,4118,0,1098,0,626,15,4121,9811,561,1
1804712,94.1208432304038,2322,0,485,1,555,5,2883,4609,312,0
1713736,126.96088582111015,2897,0,100,0,471,9,2789,1502,404,0
1764491,163.36540120793788,1841,0,54,0,423,0,1786,913,243,0
1714814,118.53189341945902,3991,0,318,0,637,8,3854,3457,541,1
1829266,90.52091788947861,5844,0,94,0,468,0,5029,2035,974,2
2649838,84.76288088642659,1537,0,84,0,184,0,1430,963,205,0
1838958,82.36062717770035,1374,0,115,0,233,0,1217,1325,204,0
1829058,117.5455734845181,1676,0,192,0,425,0,1670,1967,245,0
1759659,102.26563721657546,4134,0,290,0,692,0,3809,3337,627,2
1847412,109.23654306220095,2433,0,175,0,728,8,2481,2178,308,0
1768262,121.04915514592933,1723,0,82,1,146,1,1590,1062,279,0
1963355,124.2419191919192,1585,0,262,0,132,1,1154,2667,238,0
1366735,101.92834277271608,2912,0,572,2,571,4,3283,5422,397,2
1768841,73.67257159728373,2356,0,479,0,552,0,2353,4387,305,0
1732069,81.54262378764676,1791,0,60,0,108,0,1471,908,306,0
