id,time_worked,avg_action_time,Input,Move From To,Nonproduction,Paste,Remove/Cut,Replace,count_letters,count_special_chars,final_word_count
001519c8,1797443,116.24677356276887,2010,3,120,0,417,7,2016,1489,256
0022f953,1758346,112.22127139364304,1938,0,254,1,260,1,1705,2538,323
0042269b,1767228,101.8377659574468,3515,0,175,0,439,7,3675,2210,404
0059420b,1363074,121.84832904884318,1304,0,99,1,151,1,1168,1108,206
0075873a,1584002,123.94389569340181,1942,0,72,0,517,0,1964,1071,252
0081af50,1736280,81.40434192672998,1794,0,76,0,338,3,1749,1019,275
0093f095,1761625,109.71784702549576,1583,0,34,0,148,0,1424,579,242
009e23ab,1692754,90.75563110922226,1975,0,155,0,222,1,1715,1728,308
00e048f1,1792225,75.01135646687698,1426,0,41,0,118,0,1240,632,223
00e1f05a,1842966,93.34321492461028,6145,0,228,0,1446,7,6990,3552,739
00e713bd,1748291,94.30690032858708,3946,0,87,0,530,2,3666,1538,574
00f0737e,1780787,131.15728476821192,1780,0,398,0,237,1,1651,3561,252
00f8e84c,1769301,82.43052942757323,3182,0,477,0,62,0,2574,4486,573
00fc9a6a,1582724,111.76823398741207,2029,0,136,2,534,0,2213,1694,244
0144e4d5,1748118,87.00377893245158,1690,0,319,0,108,0,1168,3182,234
014e7ae9,1815101,124.05154376116356,3289,0,90,1,529,10,3293,1576,449
015aa732,1740219,96.49858088930937,2848,0,59,0,258,6,2771,1195,421
0178a105,1753635,135.84184561810795,2444,0,120,1,878,3,2806,1679,286
0190ff4c,1620250,98.37773152965661,1758,0,46,0,118,0,1492,752,299
01963e20,1795223,94.34848484848484,3815,0,120,0,1075,6,4098,1932,414
019737b6,1792288,86.89685124864278,4095,0,1011,0,418,2,3738,8975,636
01992d32,1730889,135.2755591054313,3374,0,64,0,312,6,3026,1328,537
01c359fc,1746405,126.43626448534424,2528,0,155,0,251,0,2130,1889,430
01d0ba4b,1275080,22.009151921903598,1520,0,6,0,113,0,1328,353,229
0249a095,1769361,92.03578049684835,3178,0,1826,0,389,1,2857,15339,500
0262bf61,1791449,78.75258892390815,3284,0,499,0,659,0,3238,4706,447
026be946,1788712,90.76440756108806,4005,0,195,0,137,1,3301,2409,712
02a41d1a,1767886,155.8877473363775,2090,0,121,0,414,3,2110,1482,269
02cf6a52,1323052,129.9790243902439,1822,0,43,0,183,2,1602,762,282
02d3c9fc,1769434,107.89023717595146,2427,0,692,1,498,8,2528,6137,284
02e86b6a,1832951,83.28839433511128,3973,0,591,1,869,3,4309,5691,490
031c0c58,1703917,128.57464061924068,2307,0,94,0,307,5,2139,1293,337
034d61db,1797513,101.48807854137448,3478,0,56,0,31,0,2866,1091,562
035f09fc,1795031,115.47977225052442,2747,0,297,0,285,8,2644,3043,407
036cfd42,1772039,86.06206512663512,5250,0,812,0,1123,1,5469,7972,641
0395b217,1635374,86.78033205619413,3230,0,173,0,511,1,3014,2122,471
03971ddf,1802244,72.83470796162263,2121,0,3655,1,164,0,1871,29681,327
040c429b,1714298,101.40308866909595,4334,0,140,0,1289,0,4512,2373,530
0417d421,684288,112.1687526974536,1905,0,53,0,359,0,1782,906,271
0432f117,1781126,111.97517070142769,2773,0,155,1,290,3,2726,1822,396
044c5c54,1088769,65.06259541984733,1222,0,13,0,75,0,1035,368,213
048fd254,1723314,85.70165993719156,1844,0,236,0,149,0,1580,2301,296
